Student Name,Gender,Attendance,Feedback,Study Hours,Data Science Marks
Student276,M,77,This course is not consistent with someone who would sign up for an entire certificate. This course is more suitable as a recruitment tool for a certificate program. Watching these videos was an absolute waste of my time.,3,10
Student277,M,89,"Terrific introduction to the Data Science course. Never expected but was extremely excited with the quality of content, speakers and a very honest attempt to making this course interesting. :",11,58
Student278,M,83,"Poor course overall, not much ""meat"". An introduction to the subject that could have been given in one hour of lessons. !",15,72
Student279,F,76,"The Data Science assignments are challenging but rewarding.,",5,22
Student280,M,72,"Very learning experience, I am a beginner in DS, but the instructors in this course simplified the contents that made me I could easily understand, tools and materials were very helpful to start with. ,",13,60
Student281,M,97,"I find the practical exercises in Data Science very helpful.,",9,50
Student282,M,97,I would like more resources for self-study in Data Science.!,10,48
Student283,F,94,I throughly enjoyed the course and the fact that everything was explained thoroughly. I always enjoyed Dr. White personal experience with Data Science as well as other Data Scientists point of view. !,3,19
Student284,F,97,"I wish there were more interactive sessions in the Data Science course.,",15,80
Student285,F,88,"Terrific introduction to the Data Science course. Never expected but was extremely excited with the quality of content, speakers and a very honest attempt to making this course interesting. :",9,41
Student286,M,83,"Terrific introduction to the Data Science course. Never expected but was extremely excited with the quality of content, speakers and a very honest attempt to making this course interesting. ,",4,17
Student287,F,88,Interesting topics!,12,65
Student288,F,79,The Data Science assignments are challenging but rewarding.:,10,45
Student289,M,81,I appreciate the guest lectures by industry professionals in the Data Science course.!,4,17
Student290,F,98,Great course!;,2,8
Student291,M,87,"Terrific introduction to the Data Science course. Never expected but was extremely excited with the quality of content, speakers and a very honest attempt to making this course interesting. !",12,60
Student292,M,88,The Data Science course content is comprehensive and well-structured.?,8,37
Student293,M,93,Needs more practical sessions:,4,25
Student294,M,87,"Very learning experience, I am a beginner in DS, but the instructors in this course simplified the contents that made me I could easily understand, tools and materials were very helpful to start with. !",3,15
Student295,M,82,The Data Science lab sessions provide valuable hands-on experience.?,13,61
Student296,F,86,"I am enjoying learning about Data Science and its applications.,",3,20
Student297,M,90,The instructor explanations in Data Science lectures are clear and easy to understand.:,1,7
Student298,M,93,The Data Science lab sessions provide valuable hands-on experience.:,8,39
Student299,M,75,I am enjoying learning about Data Science and its applications.;,13,60
Student300,M,99,"I liked this course very much. The way it is organised to collect different data scientists opinions about the same topic, make it very valuable to the ones who are starting the road to Data Science.,",11,55
Student301,M,85,Interesting topics!,5,22
Student302,M,87,The instructor explanations in Data Science lectures are clear and easy to understand.?,5,23
Student303,M,97,The Data Science lab sessions provide valuable hands-on experience.!,13,69
Student304,F,78,"I liked this course very much. The way it is organised to collect different data scientists opinions about the same topic, make it very valuable to the ones who are starting the road to Data Science.?",4,22
Student305,F,99,The Data Science course content is comprehensive and well-structured.?,13,67
Student306,F,82,I wish there were more interactive sessions in the Data Science course.!,12,65
Student307,M,73,"Very learning experience, I am a beginner in DS, but the instructors in this course simplified the contents that made me I could easily understand, tools and materials were very helpful to start with. ,",14,72
Student308,F,82,Enjoyed the lectures?,5,24
Student309,F,72,"Great course!,",12,55
Student310,M,73,"Poor course overall, not much ""meat"". An introduction to the subject that could have been given in one hour of lessons. ?",5,28
Student311,F,88,Needs more practical sessions;,9,50
Student312,M,93,I find the Data Science course material engaging and relevant.!,11,58
Student313,M,70,I appreciate the guest lectures by industry professionals in the Data Science course.?,6,32
Student314,M,70,Enjoyed the lectures?,13,70
Student315,M,78,"I liked this course very much. The way it is organised to collect different data scientists opinions about the same topic, make it very valuable to the ones who are starting the road to Data Science.?",9,42
Student316,F,92,Too much theory?,8,40
Student317,M,94,"I would like more resources for self-study in Data Science.,",3,16
Student318,F,72,Interesting topics:,2,8
Student319,F,72,The Data Science assignments are challenging but rewarding.:,6,34
Student320,M,99,I wish there were more interactive sessions in the Data Science course.:,14,71
Student321,F,87,"Poor course overall, not much ""meat"". An introduction to the subject that could have been given in one hour of lessons. ,",13,68
Student322,M,71,Needs more practical sessions!,2,10
Student323,M,80,I find the Data Science course material engaging and relevant.!,3,11
Student324,M,78,The Data Science assignments are challenging but rewarding.:,3,15
Student325,F,71,"Very learning experience, I am a beginner in DS, but the instructors in this course simplified the contents that made me I could easily understand, tools and materials were very helpful to start with. ;",13,62
Student326,M,89,I would like more resources for self-study in Data Science.;,1,6
Student327,F,96,"Poor course overall, not much ""meat"". An introduction to the subject that could have been given in one hour of lessons. ;",5,22
Student328,F,73,"Very learning experience, I am a beginner in DS, but the instructors in this course simplified the contents that made me I could easily understand, tools and materials were very helpful to start with. ?",8,42
Student329,M,78,Needs more practical sessions!,9,50
Student330,M,83,This course is not consistent with someone who would sign up for an entire certificate. This course is more suitable as a recruitment tool for a certificate program. Watching these videos was an absolute waste of my time.,7,40
